,move_direct,next_loc,route_type,source_loc
0,d,"(1, 8)",forward,"(0, 8)"
1,l,"(1, 7)",forward,"(1, 8)"
2,d,"(2, 7)",forward,"(1, 7)"
3,l,"(2, 6)",forward,"(2, 7)"
4,d,"(3, 6)",forward,"(2, 6)"
5,l,"(3, 5)",forward,"(3, 6)"
6,d,"(4, 5)",forward,"(3, 5)"
7,l,"(4, 4)",forward,"(4, 5)"
8,l,"(4, 3)",forward,"(4, 4)"
9,u,"(3, 3)",forward,"(4, 3)"
10,l,"(3, 2)",forward,"(3, 3)"
11,u,"(2, 2)",forward,"(3, 2)"
12,l,"(2, 1)",forward,"(2, 2)"
13,u,"(1, 1)",forward,"(2, 1)"
14,l,"(1, 0)",forward,"(1, 1)"
15,u,"(0, 0)",forward,"(1, 0)"
