,move_direct,next_loc,route_type,source_loc
0,r,"(4, 5)",forward,"(4, 4)"
1,l,"(4, 4)",backward,"(4, 5)"
2,l,"(4, 3)",forward,"(4, 4)"
3,r,"(4, 4)",backward,"(4, 3)"
4,r,"(4, 5)",backward,"(4, 4)"
5,u,"(3, 5)",forward,"(4, 5)"
6,d,"(4, 5)",backward,"(3, 5)"
7,l,"(4, 4)",backward,"(4, 5)"
8,l,"(4, 3)",backward,"(4, 4)"
9,u,"(3, 3)",forward,"(4, 3)"
10,d,"(4, 3)",backward,"(3, 3)"
11,r,"(4, 4)",backward,"(4, 3)"
12,r,"(4, 5)",backward,"(4, 4)"
13,u,"(3, 5)",backward,"(4, 5)"
14,l,"(4, 4)",backward,"(4, 5)"
15,r,"(3, 6)",forward,"(3, 5)"
16,l,"(3, 5)",backward,"(3, 6)"
17,d,"(4, 5)",backward,"(3, 5)"
18,l,"(4, 4)",backward,"(4, 5)"
19,l,"(4, 3)",backward,"(4, 4)"
20,u,"(3, 3)",backward,"(4, 3)"
21,l,"(3, 2)",forward,"(3, 3)"
22,r,"(3, 3)",backward,"(3, 2)"
23,d,"(4, 3)",backward,"(3, 3)"
24,r,"(4, 4)",backward,"(4, 3)"
25,r,"(4, 5)",backward,"(4, 4)"
26,u,"(3, 5)",backward,"(4, 5)"
27,l,"(4, 4)",backward,"(4, 5)"
28,r,"(3, 6)",backward,"(3, 5)"
29,u,"(2, 6)",forward,"(3, 6)"
30,d,"(3, 6)",backward,"(2, 6)"
31,l,"(3, 5)",backward,"(3, 6)"
32,d,"(4, 5)",backward,"(3, 5)"
33,l,"(4, 4)",backward,"(4, 5)"
34,l,"(4, 3)",backward,"(4, 4)"
35,u,"(3, 3)",backward,"(4, 3)"
36,l,"(3, 2)",backward,"(3, 3)"
37,u,"(2, 2)",forward,"(3, 2)"
38,d,"(3, 2)",backward,"(2, 2)"
39,r,"(3, 3)",backward,"(3, 2)"
40,d,"(4, 3)",backward,"(3, 3)"
41,r,"(4, 4)",backward,"(4, 3)"
42,r,"(4, 5)",backward,"(4, 4)"
43,u,"(3, 5)",backward,"(4, 5)"
44,l,"(4, 4)",backward,"(4, 5)"
45,r,"(3, 6)",backward,"(3, 5)"
46,u,"(2, 6)",backward,"(3, 6)"
47,r,"(2, 7)",forward,"(2, 6)"
