,move_direct,next_loc,route_type,source_loc
48,l,"(2, 6)",backward,"(2, 7)"
49,d,"(3, 6)",backward,"(2, 6)"
50,l,"(3, 5)",backward,"(3, 6)"
51,d,"(4, 5)",backward,"(3, 5)"
52,l,"(4, 4)",backward,"(4, 5)"
53,l,"(4, 3)",backward,"(4, 4)"
54,u,"(3, 3)",backward,"(4, 3)"
55,l,"(3, 2)",backward,"(3, 3)"
56,u,"(2, 2)",backward,"(3, 2)"
57,l,"(2, 1)",forward,"(2, 2)"
58,r,"(2, 2)",backward,"(2, 1)"
59,d,"(3, 2)",backward,"(2, 2)"
60,r,"(3, 3)",backward,"(3, 2)"
61,d,"(4, 3)",backward,"(3, 3)"
62,r,"(4, 4)",backward,"(4, 3)"
63,r,"(4, 5)",backward,"(4, 4)"
64,u,"(3, 5)",backward,"(4, 5)"
65,l,"(4, 4)",backward,"(4, 5)"
66,r,"(3, 6)",backward,"(3, 5)"
67,u,"(2, 6)",backward,"(3, 6)"
68,r,"(2, 7)",backward,"(2, 6)"
69,u,"(1, 7)",forward,"(2, 7)"
70,d,"(2, 7)",backward,"(1, 7)"
71,l,"(2, 6)",backward,"(2, 7)"
72,d,"(3, 6)",backward,"(2, 6)"
73,l,"(3, 5)",backward,"(3, 6)"
74,d,"(4, 5)",backward,"(3, 5)"
75,l,"(4, 4)",backward,"(4, 5)"
76,l,"(4, 3)",backward,"(4, 4)"
77,u,"(3, 3)",backward,"(4, 3)"
78,l,"(3, 2)",backward,"(3, 3)"
79,u,"(2, 2)",backward,"(3, 2)"
80,l,"(2, 1)",backward,"(2, 2)"
81,u,"(1, 1)",forward,"(2, 1)"
82,d,"(2, 1)",backward,"(1, 1)"
83,r,"(2, 2)",backward,"(2, 1)"
84,d,"(3, 2)",backward,"(2, 2)"
85,r,"(3, 3)",backward,"(3, 2)"
86,d,"(4, 3)",backward,"(3, 3)"
87,r,"(4, 4)",backward,"(4, 3)"
88,r,"(4, 5)",backward,"(4, 4)"
89,u,"(3, 5)",backward,"(4, 5)"
90,l,"(4, 4)",backward,"(4, 5)"
91,r,"(3, 6)",backward,"(3, 5)"
92,u,"(2, 6)",backward,"(3, 6)"
93,r,"(2, 7)",backward,"(2, 6)"
94,u,"(1, 7)",backward,"(2, 7)"
95,r,"(1, 8)",forward,"(1, 7)"
96,l,"(1, 7)",backward,"(1, 8)"
97,d,"(2, 7)",backward,"(1, 7)"
98,l,"(2, 6)",backward,"(2, 7)"
99,d,"(3, 6)",backward,"(2, 6)"
100,l,"(3, 5)",backward,"(3, 6)"
101,d,"(4, 5)",backward,"(3, 5)"
102,l,"(4, 4)",backward,"(4, 5)"
103,l,"(4, 3)",backward,"(4, 4)"
104,u,"(3, 3)",backward,"(4, 3)"
105,l,"(3, 2)",backward,"(3, 3)"
106,u,"(2, 2)",backward,"(3, 2)"
107,l,"(2, 1)",backward,"(2, 2)"
108,u,"(1, 1)",backward,"(2, 1)"
109,l,"(1, 0)",forward,"(1, 1)"
110,r,"(1, 1)",backward,"(1, 0)"
111,d,"(2, 1)",backward,"(1, 1)"
112,r,"(2, 2)",backward,"(2, 1)"
113,d,"(3, 2)",backward,"(2, 2)"
114,r,"(3, 3)",backward,"(3, 2)"
115,d,"(4, 3)",backward,"(3, 3)"
116,r,"(4, 4)",backward,"(4, 3)"
117,r,"(4, 5)",backward,"(4, 4)"
118,u,"(3, 5)",backward,"(4, 5)"
119,l,"(4, 4)",backward,"(4, 5)"
120,r,"(3, 6)",backward,"(3, 5)"
121,u,"(2, 6)",backward,"(3, 6)"
122,r,"(2, 7)",backward,"(2, 6)"
123,u,"(1, 7)",backward,"(2, 7)"
124,r,"(1, 8)",backward,"(1, 7)"
125,u,"(0, 8)",forward,"(1, 8)"
126,d,"(1, 8)",backward,"(0, 8)"
127,l,"(1, 7)",backward,"(1, 8)"
128,d,"(2, 7)",backward,"(1, 7)"
129,l,"(2, 6)",backward,"(2, 7)"
130,d,"(3, 6)",backward,"(2, 6)"
131,l,"(3, 5)",backward,"(3, 6)"
132,d,"(4, 5)",backward,"(3, 5)"
133,l,"(4, 4)",backward,"(4, 5)"
134,l,"(4, 3)",backward,"(4, 4)"
135,u,"(3, 3)",backward,"(4, 3)"
136,l,"(3, 2)",backward,"(3, 3)"
137,u,"(2, 2)",backward,"(3, 2)"
138,l,"(2, 1)",backward,"(2, 2)"
139,u,"(1, 1)",backward,"(2, 1)"
140,l,"(1, 0)",backward,"(1, 1)"
141,u,"(0, 0)",forward,"(1, 0)"
142,d,"(1, 0)",backward,"(0, 0)"
